QID,QUESTION,CORRECT ANSWER,A,B,C,D,E,F,EXPLANATION/NOTES,Snowflake Documentation,Image URL,Topic(s)
12,Query compilation occurs in which architecture layer of the Snowflake Cloud Data Platform?,D,Compute layer,Storage layer,Cloud infrastructure layer,Cloud services layer,,,"Cloud Service Layer:\n
-Authentication\n
-Infrastructure management\n
-Metadata management\n
-Query parsing and optimization\n
-Access control\n
Query execution is different from Query processing. Query execution is performed in the processing layer. While The services layer for Snowflake authenticates user sessions, provides management, enforces security functions, performs query compilation and optimization, results cache and coordinates all transactions",https://docs.snowflake.com/en/user-guide/intro-key-concepts,,Snowflake AI Data Cloud Features and Architecture
13,In which scenarios would a user have to pay Cloud Services costs? (Choose two.),"A,E",Compute Credits = 50 Credits Cloud Services = 10,Compute Credits = 80 Credits Cloud Services = 5,Compute Credits = 100 Credits Cloud Services = 9,Compute Credits = 120 Credits Cloud Services = 10,Compute Credits = 200 Credits Cloud Services = 26,,Cloud services are charged once > 10% of the compute credits,https://docs.snowflake.com/en/user-guide/cost-exploring-compute,,"Snowflake AI Data Cloud Features and Architecture, Performance Concepts"
14,Which Snowflake partner specializes in data catalog solutions?,A,Alation,DataRobot,dbt,Tableau,,,,https://docs.snowflake.com/en/user-guide/ecosystem-all,,Snowflake AI Data Cloud Features and Architecture
15,Which Snowflake technique can be used to improve the performance of a query?,A,Clustering,Indexing,Fragmenting,Using INDEX HINTS,,,,https://docs.snowflake.com/en/user-guide/tables-clustering-keys,,Performance Concepts
16,Which of the following objects can be shared through secure data sharing?,D,Masking policy,Stored procedure,Task,External table,,,"Following objects can be shared:\n
-Database\n
-Tables\n
-External tables\n
-Secure Views\n
-Secure Materialized Views\n
-Secure UDFs\n
**Concept included in test from Sept 2024",https://docs.snowflake.com/en/user-guide/data-sharing-intro,,Data Protection and Data Sharing
17,Which semi-structured file formats are supported when unloading data from a table? (Choose two.),"D,E",ORC,XML,Avro,Parquet,JSON,,"Loading Supported File Formats:\n
-CSV/TSV (structured)\n
-JSON\n
-Avro\n
-Parquet\n
-ORC\n
-XML\n
Unloading Supported File Formats:\n
-CSV/TSV (structured)\n
-JSON\n
-Parquet","https://docs.snowflake.com/en/user-guide/intro-summary-unloading, https://docs.snowflake.com/en/user-guide/data-unload-prepare",,Data Loading and Unloading
18,Which account usage views are used to evaluate the details of dynamic data masking? (Choose two.),"B,C",ROLES,POLICY_REFERENCES,QUERY_HISTORY,RESOURCE_MONITORS,ACCESS_HISTORY,,,https://docs.snowflake.com/en/user-guide/security-column-ddm-intro,,Data Protection and Data Sharing
19,"True or False: A 4X-Large Warehouse may, at times, take longer to provision than a X-Small Warehouse.",A,TRUE,FALSE,,,,,"4XL contains more servers, which might - sometimes - take longer to get provisioned",https://docs.snowflake.com/en/user-guide/warehouses-tasks,,Performance Concepts
20,What happens to the underlying table data when a CLUSTER BY clause is added to a Snowflake table?,D,Data is hashed by the cluster key to facilitate fast searches for common data values,Larger micro-partitions are created for common data values to reduce the number of partitions that must be scanned,Smaller micro-partitions are created for common data values to allow for more parallelism,Data may be colocated by the cluster key within the micro-partitions to improve pruning performance),,,,https://docs.snowflake.com/en/user-guide/tables-clustering-keys,,Performance Concepts
21,What is a limitation of a Materialized View?,D,A Materialized View cannot support any aggregate functions,A Materialized View can only reference up to two tables,A Materialized View cannot be joined with other tables,A Materialized View cannot be defined with a JOIN,,,"Materialized View limitations:\n
-functions must be deterministic (eg. CURRENT_TIME or CURRENT_TIMESTAMP not allowed)\n
-Cannot be created using TIME TRAVEL\n
-Can query only a single table\n
-Joins, including self-joins, are not supported.\n
-A materialized view cannot query any view\n
-A materialized view cannot query a UDTF\n
A materialized view cannot include:\n
-UDFs (this limitation applies to all types of user-defined functions, including external functions).\n
-Window functions.\n
-HAVING clauses.\n
-ORDER BY clause.\n
-LIMIT clause.\n
-GROUP BY keys that are not within the SELECT list Nesting of subqueries within a materialized view\n
Materialized view can be joined with other tables. But you cannot include JOIN in a materialized view definition",https://docs.snowflake.com/en/user-guide/views-materialized#limitations-on-creating-materialized-views,,Performance Concepts
22,What can be used to view warehouse usage over time? (Choose two.),"D,E",The load HISTORY view,The Query history view,The show warehouses command,The WAREHOUSE_METERING_HISTORY View,The billing and usage tab in the Snowflake web Ul,,"This Account Usage view can be used to return the hourly credit usage for a single warehouse (or all the warehouses in your account) within the last 365 days (1 year). \n

Snowsight can be used to view compute cost. ","https://docs.snowflake.com/en/sql-reference/account-usage/warehouse_metering_history, https://docs.snowflake.com/en/user-guide/cost-exploring-compute",,"Data Transformations, Performance Concepts, Snowflake AI Data Cloud Features and Architecture"
23,What are the default Time Travel and Fail-safe retention periods for transient tables?,C,Time Travel - 1 day. Fail-safe - 1 day,Time Travel - 0 days. Fail-safe - 1 day,Time Travel - 1 day. Fail-safe - 0 days,Transient tables are retained in neither Fail-safe nor Time Travel,,,"Transient tables can have a Time Travel retention period of either 0 or 1 day.\n
Temporary tables can also have a Time Travel retention period of 0 or 1 day; however, this retention period ends as soon as the table is dropped or the session in which the table was created ends.\n
Transient and temporary tables have no Fail-safe period.\n
**Concept included in test from Sept 2024","https://docs.snowflake.com/en/user-guide/data-availability, https://docs.snowflake.com/en/user-guide/tables-temp-transient#comparison-of-table-types",,"Data Protection and Data Sharing, Snowflake AI Data Cloud Features and Architecture, Performance Concepts"
24,Which of the following is a valid source for an external stage when the Snowflake account is located on Microsoft Azure?,C,An FTP server with TLS encryption,An HTTPS server with WebDAV,A Google Cloud storage bucket,A Windows server file share on Azure,,,"Data source can be AWS, Azure or GCP cloud storage, regardless of where the Snowflake account is hosted","https://docs.snowflake.com/en/user-guide/data-load-local-file-system-stage-ui, https://docs.snowflake.com/en/user-guide/data-load-overview#external-stages",,Data Loading and Unloading
25,Which of the following describes how multiple Snowflake accounts in a single organization relate to various cloud providers?,A,Each Snowflake account can be hosted in a different cloud vendor and region.,Each Snowflake account must be hosted in a different cloud vendor and region,All Snowflake accounts must be hosted in the same cloud vendor and region,"Each Snowflake account can be hosted in a different cloud vendor, but must be in the same region.",,,"The cloud platform you choose for each Snowflake account is completely independent from your other Snowflake accounts. In fact, you can choose to host each Snowflake account on a different platform, although this may have some impact on data transfer billing when loading data.",https://docs.snowflake.com/en/user-guide/intro-cloud-platforms,,Snowflake AI Data Cloud Features and Architecture
26,"When reviewing a query profile, what is a symptom that a query is too large to fit into the memory?",D,A single join node uses more than 50% of the query time,Partitions scanned is equal to partitions total,An Aggregate Operator node is present,The query is spilling to remote storage,,,,"https://docs.snowflake.com/en/user-guide/performance-query-warehouse-memory, https://docs.snowflake.com/en/user-guide/ui-query-profile#queries-too-large-to-fit-in-memory",,"Snowflake AI Data Cloud Features and Architecture, Performance Concepts"
27,"A user unloaded a Snowflake table called mytable to an internal stage called mystage. 

Which command can be used to view the list of files that has been uploaded to the staged?",D,list @mytable;,list @%mytable;,list@ %my.stage;,list @mystage;,,,,https://docs.snowflake.com/en/sql-reference/sql/list,,Data Transformations
28,Which Snowflake object enables loading data from files as soon as they are available in a cloud storage location?,A,Pipe,External stage,Task,Stream,,,"Snowpipe enables loading data from files as soon as they're available in a stage. This means you can load data from files in micro-batches, making it available to users within minutes, rather than manually executing COPY statements on a schedule to load larger batches.",https://docs.snowflake.com/en/user-guide/data-load-snowpipe-intro,,"Data Loading and Unloading, Snowflake AI Data Cloud Features and Architecture"
29,What SQL command would be used to view all roles that were granted to user. 1?,A,show grants to user USER1;,show grants of user USER1;,describe user USER1;,show grants on user USER1;,,,,https://docs.snowflake.com/en/sql-reference/sql/show-grants,,Data Transformations
30,What is a best practice after creating a custom role?,B,Create the custom role using the SYSADMIN role.,Assign the custom role to the SYSADMIN role,Assign the custom role to the PUBLIC role,Add_CUSTOM to all custom role names,,,"Custom roles (i.e. any roles other than the system-defined roles) can be created by the USERADMIN role (or a higher role) as well as by any role to which the CREATE ROLE privilege has been granted. By default, a newly-created role is not assigned to any user, nor granted to any other role.\n
When creating roles that will serve as the owners of securable objects in the system, Snowflake recommends creating a hierarchy of custom roles, with the top-most custom role assigned to the system role SYSADMIN.",https://docs.snowflake.com/en/user-guide/security-access-control-configure#label-security-custom-role,,Account Access and Security
31,"True or False: 
Loading data into Snowflake requires that source data files be no larger than 16MB.",B,TRUE,FALSE,,,,,"Default file size when UNLOADING is 16MB, but can be up to 5GB via MAX_FILE_SIZE parameter. For loading, Snowflake recommends a file size of 100-250MB compressed to make use of parallelization",https://docs.snowflake.com/en/user-guide/data-load-considerations-prepare,,Data Loading and Unloading
32,Which command can be used to stage local files to the Snowflake interface?,A,SnowSQL,Snowflake classic web interface (Ul),Snowsight,NET driver,,,PUT command from SnowSQL command line interface tool,https://docs.snowflake.com/en/user-guide/data-load-local-file-system-stage,,Data Loading and Unloading
33,Which of the following conditions must be met in order to return results from the results cache? (Choose two.),"A,E",The user has the appropriate privileges on the objects associated with the query,Micro-partitions have been reclustered since the query was last run,The new query is run using the same virtual warehouse as the previous query,The query includes a User Defined Function (UDF),The query has been run within 24 hours of the previously-run query,,"If the same query is fired again in 24 hrs, it will not be COMPUTED, which means it will not be charged. and it is not affected by WH suspension.",https://docs.snowflake.com/en/user-guide/querying-persisted-results#retrieval-optimization,,Performance Concepts
34,When is the result set cache no longer available? (Choose two.),"C,E",When another warehouse is used to execute the query,When another user executes the query,When the underlying data has changed,When the warehouse used to execute the query is suspended,When it has been 24 hours since the last query,,,https://docs.snowflake.com/en/user-guide/querying-persisted-results,,Performance Concepts
35,"A developer is granted ownership of a table that has a masking policy. The developer's role is not able to see the masked data. 

Will the developer be able to modify the table to read the masked data?",D,"Yes, because a table owner has full control and can unset masking policies.","Yes, because masking policies only apply to cloned tables.","No, because masking policies must always reference specific access roles.","No, because ownership of a table does not include the ability to change masking policies",,,,https://docs.snowflake.com/en/user-guide/security-column-intro#what-are-masking-policies,,Data Protection and Data Sharing
36,Which of the following describes how clustering keys work in Snowflake?,B,"Clustering keys update the micro-partitions in place with a full sort, and impact the DML operations.","Clustering keys sort the designated columns over time, without blocking DML operations","Clustering keys create a distributed, parallel data structure of pointers to a table's rows and columns",Clustering keys establish a hashed key on each node of a virtual warehouse to optimize joins at run-time,,,,https://docs.snowflake.com/en/user-guide/tables-clustering-keys,,Performance Concepts
37,What feature can be used to reorganize a very large table on one or more columns?,B,Micro-partitions,Clustering keys,Key partitions,Clustered partitions,,,,https://docs.snowflake.com/en/user-guide/tables-clustering-keys,,Performance Concepts
38,How long is Snowpipe data load history retained?,D,As configured in the create pipe settings,Until the pipe is dropped,64 days,14 days,,,"Stored in the metadata of the pipe for 14 days. Must be requested from Snowflake via a REST endpoint, SQL table function, or ACCOUNT_USAGE view\n
Loading History:\n
-Snowpipe -> 14 days\n
-Copy Into > 64 days (stored in the Metadata of the target table)","https://docs.snowflake.com/en/user-guide/data-load-snowpipe-intro#load-history, https://docs.snowflake.com/en/sql-reference/functions/pipe_usage_history",,"Data Loading and Unloading, Snowflake AI Data Cloud Features and Architecture, Data Transformations"
39,"A user needs to create a materialized view in the schema MYDB.MYSCHEMA. 

Which statements will provide this access?",A,"GRANT ROLE MYROLE TO USER USER1;
GRANT CREATE MATERIALIZED VIEW ON SCHEMA MYDB.MYSCHEMA TO ROLE MYROLE;","GRANT ROLE MYROLE TO USER USER1;
GRANT CREATE MATERIALIZED VIEW ON SCHEMA MYDB.MYSCHEMA TO USER USER1;","GRANT ROLE MYROLE TO USER USER1;
GRANT CREATE MATERIALIZED VIEW ON SCHEMA MYDB.MYSCHEMA TO MYROLE;","GRANT ROLE MYROLE TO USER USER1;
GRANT CREATE MATERIALIZED VIEW ON SCHEMA MYDB.MYSCHEMA TO USER1;",,,Privileges can only be granted to users and role_name is a required parameter.,"https://docs.snowflake.com/en/user-guide/views-materialized#privileges-on-a-materialized-view-s-schema, https://docs.snowflake.com/en/sql-reference/sql/grant-privilege#examples",,"Performance Concepts, Data Transformations"
40,What Snowflake role must be granted for a user to create and manage accounts?,B,ACCOUNTADMIN,ORGADMIN,SECURITYADMIN,SYSADMIN,,,"ORGADMIN is NOT part of the role hierarchy\n
An account can be created by an ORGADMIN through the web interface or using SQL.\n
Additonal actions the ORGADMIN can do include creating and managing accounts data sharing (across regions / clouds), and data replication and failover","https://docs.snowflake.com/en/user-guide/organizations, https://docs.snowflake.com/en/user-guide/organizations-manage-accounts",,Snowflake AI Data Cloud Features and Architecture
41,What data is stored in the Snowflake storage layer? (Choose two.),"B,D",Snowflake parameters,Micro-partitions,Query history,Persisted query results,Standard and secure view results,,,https://docs.snowflake.com/en/user-guide/intro-key-concepts#snowflake-architecture,,Snowflake AI Data Cloud Features and Architecture
42,"A company's security audit requires generating a report listing all Snowflake logins (e.g. date and user) within the last 90 days. 

Which of the following statements will return the required information?",D,"SELECT LAST_SUCCESS_LOGIN, LOGIN_NAME FROM ACCOUNT_USAGE.USERS;","SELECT EVENT_TIMESTAMP, USER_NAME FROM table(information_schema.login_history_by_user))","SELECT EVENT_TIMESTAMP, USER_NAME FROM ACCOUNT_USAGE ACCESS_HISTORY;","SELECT EVENT_TIMESTAMP, USER_NAME FROM ACCOUNT_USAGE.LOGIN_HISTORY;",,,,https://docs.snowflake.com/en/sql-reference/account-usage/login_history,,Data Transformations
43,How would you determine the size of the virtual warehouse used for a task?,C,"Root task may be executed concurrently (i.e. multiple instances, it is recommended to leave some margins in the execution window to avoid missing instances of execution","Querying (select) the size of the stream content would help determine the warehouse size. For example, if querying large stream content, use a larger warehouse size","If using the stored procedure to execute multiple SQL statements, it's best to test run the stored procedure separately to size the compute resource first","Since task infrastructure is based on running the task body on schedule, it's recommended to configure the virtual warehouse for automatic concurrency handling using Multi-cluster warehouse (MCW) to match the task schedule",,,,https://docs.snowflake.com/en/user-guide/warehouses-considerations#selecting-an-initial-warehouse-size,,"Performance Concepts, Data Loading and Unloading"
44,"In the query profiler view for a query, which components represent areas that can be used to help optimize query performance? (Choose two.)","C,D",Bytes scanned,Bytes sent over the network,Number of partitions scanned,Percentage scanned from cache,External bytes scanned,,"-The fewer partitions are scanned (compared to the total), the better pruning / clustering works and thus the better the performance\n
-Cache usage improves the performance\n
**Concept included in test from Sept 2024",https://docs.snowflake.com/en/user-guide/ui-snowsight-activity#label-snowsight-query-profile-reference,,"Snowflake AI Data Cloud Features and Architecture, Performance Concepts"
45,User-level network policies can be created by which of the following roles? (Choose two.),"B,D",ROLEADMIN,ACCOUNTADMIN,SYSADMIN,SECURITYADMIN,USERADMIN,,,https://docs.snowflake.com/en/user-guide/network-policies#create-a-network-policy,,Account Access and Security
46,"A user has 10 files in a stage containing new customer data. The ingest operation completes with no errors, using the following command: 
    COPY INTO my__table FROM @my_stage; 

The next day the user adds 10 files to the stage so that now the stage contains a mixture of new customer data and updates to the previous data. The user did not remove the 10 original files. 

If the user runs the same copy into command what will happen?",D,All data from all of the files on the stage will be appended to the table,Only data about new customers from the new files will be appended to the table,The operation will fail with the error uncertain files in stage.,All data from only the newly-added files will be appended to the table.,,,"Load history is stored for 64 days in target table to avoid duplicating / loading data twice. Hence only new data will be loaded, already loaded data ignored. Also COPY command maintains historic load metadata with target table, so day 1 , 10 files will will not be loaded again.",https://docs.snowflake.com/en/user-guide/data-load-considerations-load#loading-older-files,,Data Loading and Unloading
47,What happens when a cloned table is replicated to a secondary database? (Choose two.),"C,D",A read-only copy of the cloned tables is stored.,The replication will not be successful.,The physical data is replicated,Additional costs for storage are charged to a secondary account,Metadata pointers to cloned tables are replicated,,,https://docs.snowflake.com/en/user-guide/account-replication-considerations#replication-and-cloning,,Data Protection and Data Sharing
48,Which feature is only available in the Enterprise or higher editions of Snowflake?,A,Column-level security,SOC 2 type Il certification,Multi-factor Authentication (MFA),Object-level access control,,,,https://docs.snowflake.com/en/user-guide/intro-editions#enterprise-edition,,Snowflake AI Data Cloud Features and Architecture
49,Which of the following Snowflake objects can be shared using a secure share? (Choose two.),"D,E",Materialized views,Sequences,Procedures,Tables,Secure User Defined Functions (UDFs),,"Following objects can be shared:\n
-Tables\n
-External Tables\n
-Secure Views\n
-Secure Materialized Views\n
-Secure UDFs\n
**Concept included in test from Sept 2024",https://docs.snowflake.com/en/user-guide/data-sharing-intro,,Data Protection and Data Sharing
50,Which of the following are benefits of micro-partitioning? (Choose two.),"B,C",Micro-partitions cannot overlap in their range of values,Micro-partitions are immutable objects that support the use of Time Travel.,Micro-partitions can reduce the amount of 1/0 from object storage to virtual warehouses,Rows are automatically stored in sorted order within micro-partitions,Micro-partitions can be defined on a schema-by-schema basis,,"- In contrast to traditional static partitioning, Snowflake micro-partitions are derived automatically; they don’t need to be explicitly defined up-front or maintained by users.\n
- As the name suggests, micro-partitions are small in size (50 to 500 MB, before compression), which enables extremely efficient DML and fine-grained pruning for faster queries.\n
- Micro-partitions can overlap in their range of values, which, combined with their uniformly small size, helps prevent skew.\n
- Columns are stored independently within micro-partitions, often referred to as columnar storage. This enables efficient scanning of individual columns; only the columns referenced by a query are scanned.",https://docs.snowflake.com/en/user-guide/tables-clustering-micropartitions#benefits-of-micro-partitioning,,"Snowflake AI Data Cloud Features and Architecture, Performance Concepts"
51,Which statement about billing applies to Snowflake credits?,D,Credits are billed per-minute with a 60-minute minimum,Credits are used to pay for cloud data storage usage,Credits are consumed based on the number of credits billed for each hour that a warehouse runs,Credits are consumed based on the warehouse size and the time the warehouse is running,,,"Based on T-Shirt size of virtual warehouse and the time the VWH is running; time in seconds.\n
Minimum: 60 seconds after VWH has been provisioned / resumed\n
A virtual warehouse is one or more clusters of compute resources that enable executing queries, loading data, and performing other DML operations.\n
Snowflake credits are used to pay for the processing time used by each virtual warehouse. Snowflake credits are charged based on the number of virtual warehouses you use, how long they run, and their size.",https://docs.snowflake.com/en/user-guide/cost-understanding-compute#virtual-warehouse-credit-usage,,Performance Concepts
52,Which COPY INTO command outputs the data into one file?,A,SINGLE= TRUE,MAX_FILE_NUMBER=1,FILE_NUMBER=1,MULTIPLE=FALSE,,,"Default: SINGLE = FALSE\n
**Concept included in test from Sept 2024",https://docs.snowflake.com/en/sql-reference/sql/copy-into-location#copy-options-copyoptions,,Data Transformations
53,Which of the following compute resources or features are managed by Snowflake? (Choose two.),"C,D",Execute a COPY command,Updating data,Snowpipe,AUTOMATIC_ CLUSTERING,Scaling up a warehouse,,"Snowpipe uses Snowflake-supplied compute resources.\n
Automatic Clustering is the Snowflake service that seamlessly and continually manages all reclustering, as needed, of clustered tables.\n

Serverless features are for example:\n
-Snowpipe\n
-Automatic Clustering\n
-Materialized Views\n
-Search Optimization\n
-Query Acceleration Service\n
-Tasks (optional)",https://docs.snowflake.com/en/user-guide/cost-understanding-compute,,"Snowflake AI Data Cloud Features and Architecture, Performance Concepts"
54,"A user has unloaded data from Snowflake to a stage. 

Which SQL command should be used to validate which data was loaded into the stage?",A,list @file_stage,show @file_stage,view @file_stage,verify @file_stage,,,,https://docs.snowflake.com/en/sql-reference/sql/list,,Data Transformations
55,Which of the following are valid methods for authenticating users for access into Snowflake? (Select three.),"B,D,E",SCIM,Federated authentication,TLS 1.2,Key-pair authentication,OAuth,OCSP authentication,,https://docs.snowflake.com/en/user-guide/authentication-policies,,Account Access and Security
56,"Which Snowflake objects track DML changes made to tables, like inserts, updates, and deletes?",B,Pipes,Streams,Tasks,Procedures,,,**Concept included in test from Sept 2024,https://docs.snowflake.com/en/user-guide/streams-intro,,Data Loading and Unloading
57,What is the recommended file sizing for data loading using Snowpipe?,A,"A compressed file size greater than 100 MB, and up to 250 MB","A compressed file size greater than 100 GB, and up to 250 GB","A compressed file size greater than 10 MB, and up to 100 MB","A compressed file size greater than 1 GB, and up to 2 GB",,,Loading data files roughly 100-250 MB in size or larger reduces the overhead charge relative to the amount of total data loaded to the point where the overhead cost is immaterial.,https://docs.snowflake.com/en/user-guide/data-load-considerations-prepare#continuous-data-loads-i-e-snowpipe-and-file-sizing,,"Data Loading and Unloading, Snowflake AI Data Cloud Features and Architecture"
59,Which data type can be used to store geospatial data in Snowflake?,D,Variant,Object,Geometry,Geography,,,,https://docs.snowflake.com/en/sql-reference/data-types-geospatial,,Data Transformations
60,Which of the following are best practice recommendations that should be considered when loading data into Snowflake? (Choose two.),"C,D",Load files that are approximately 25 MB or smaller.,Remove all dates and timestamps.,Load files that are approximately 100-250 MB (or larger),Avoid using embedded characters such as commas for numeric data types,Remove semi-structured data types,,,https://docs.snowflake.com/en/user-guide/data-load-considerations-prepare#preparing-delimited-text-files,,Data Loading and Unloading
61,In which use cases does Snowflake apply egress charges?,C,Data sharing within a specific region,Query result retrieval,Database replication,Loading data into Snowflake,,,,https://docs.snowflake.com/en/user-guide/cost-understanding-data-transfer,,Performance Concepts
62,How often are encryption keys automatically rotated by Snowflake?,A,30 Days,60 Days,90 Days,365 Days,,,"Keys are automatically getting retired after 30 days. Old / retired keys are just being used for decryption from this point on.\n
Periodic rekeying after 365 days is an enterprise+ feature. In this case, retired keys older than a year are being destroyed and the data is re-encrypted with a new key.",https://docs.snowflake.com/en/user-guide/security-encryption-manage#encryption-key-rotation,,Data Protection and Data Sharing
63,What is a machine learning and data science partner within the Snowflake Partner Ecosystem?,D,Informatica,Power BI,Adobe,Data Robot,,,,https://docs.snowflake.com/en/user-guide/ecosystem-analytics,,Snowflake AI Data Cloud Features and Architecture
64,Which Snowflake feature is used for both querying and restoring data?,B,Cluster keys,Time Travel,Fail-safe,Cloning,,,,https://docs.snowflake.com/en/user-guide/data-time-travel,,"Data Protection and Data Sharing, Snowflake AI Data Cloud Features and Architecture"
65,What is a key feature of Snowflake architecture?,C,Zero-copy cloning creates a mirror copy of a database that updates with the original,Software updates are automatically applied on a quarterly basis,Snowflake eliminates resource contention with its virtual warehouse implementation,Multi-cluster warehouses allow users to run a query that spans across multiple clusters,Snowflake automatically sorts DATE columns during ingest for fast retrieval by date,,,https://docs.snowflake.com/en/user-guide/intro-key-concepts,,Snowflake AI Data Cloud Features and Architecture
66,Which services does the Snowflake Cloud Services layer manage? (Choose two.),"C,E",Compute resources,Query execution,Authentication,Data storage,Metadata,,,https://docs.snowflake.com/en/user-guide/intro-key-concepts,,Snowflake AI Data Cloud Features and Architecture
67,What happens when an external or an internal stage is dropped? (Choose two.),"A,D","When dropping an external stage, the files are not removed and only the stage is dropped","When dropping an external stage, both the stage and the files within the stage are removed","When dropping an internal stage, the files are deleted with the stage and the files are recoverable","When dropping an internal stage, the files are deleted with the stage and the files are not recoverable","When dropping an internal stage, only selected files are deleted with the stage and are not recoverable",,"For an internal stage, all of the files in the stage are purged from Snowflake, regardless of their load status. This prevents the files from continuing to using storage and, consequently, accruing storage charges. However, this also means that the staged files cannot be recovered after a stage is dropped. For an external stage, only the stage itself is dropped; any data files in the referenced external location (Amazon S3, Google Cloud Storage, or Microsoft Azure) are not removed.",https://docs.snowflake.com/en/sql-reference/sql/drop-stage,,Data Transformations
68,What is the default File Format used in the COPY command if one is not specified?,A,CSV,JSON,Parquet,XML,,,,https://docs.snowflake.com/en/sql-reference/sql/copy-into-location,,Data Transformations
69,"When unloading to a stage, which of the following is a recommended practice or approach?",D,Set SINGLE: = true for larger files,Use OBJECT_CONSTRUCT (* ) when using Parquet,Avoid the use of the CAST function,Define an individual file format,,,"Data Unloading Considerations:\n
Defining a File Format: File format defines the type of data to be unloaded into the stage or S3. It is best practice to define an individual file format when regularly used to unload a certain type of data based on the characteristics of the file needed.","https://docs.snowflake.com/en/user-guide/data-unload-considerations, https://community.snowflake.com/s/article/Best-Practices-for-Data-Unloading",,Data Loading and Unloading
